sys_title,sys_description,sys_content_plaintext,source,target
"fsw eap instance determined jon agent","jon agent able determine fuse service works node throws following exception error resourcediscoverycomponent invoker daemon rhq modules plugins jbossas standaloneasdiscovery discovery jbossas standalone server resource failed process pid java ppid java lang runtimeexception failed determine product type jboss product installed opt jboss jbfsw basei jbfsw org rhq modules plugins jbossas jbossproducttype determinejbossproducttypeviahomedirname jbossproducttype java org rhq modules plugins jbossas jbossproducttype determinejbossproducttype jbossproducttype java org rhq modules plugins jbossas baseprocessdiscovery buildresourcedetails baseprocessdiscovery java eap instance fsw installed discovered discovery eap instance fails fsw listed jbossproducttype class method determinejbossproducttypeviahomedirname private static jbossproducttype determinejbossproducttypeviahomedirname file homedir jbossproducttype producttype string homedirname homedir getname homedirname contains producttype jbossproducttype homedirname contains eap producttype jbossproducttype eap homedirname contains jdg homedirname contains datagrid server producttype jbossproducttype jdg homedirname contains epp producttype jbossproducttype epp homedirname contains jpp producttype jbossproducttype jpp homedirname contains soa producttype jbossproducttype soa throw new runtimeexception failed determine product type jboss product installed homedir return producttype jboss support fsw listed product code ways work import eap instance inventory change directory contain eap jboss discover eap instance manually add resource inventory importing new resources manually https access redhat com documentation red hat jboss operations network html admin initial setup inventory groups users sect basic admin guide running discovery manual discovery html fsw eap instance determined jon agent ","red hat jboss operations network jon red hat jboss fuse service works fsw","api access redhat com:any","datagrid"
"appendix maven configuration information ","","","api access redhat com:any","datagrid"
"datagrid compatibility jboss eap","datagrid latest release jdg jboss eap planning use production eap deployed red hat jboss data grid jdg offers usage modes remote client server mode library mode library mode jdg tested eap hot rod java client jdg tested eap eap recommend remain supported version jboss data grid tested particular release eap hard limitations prevent working previous eap version require extensive testing datagrid compatibility jboss eap ","red hat jboss enterprise application platform eap","api access redhat com:any","datagrid"
"chapter cache store implementations ","","","api access redhat com:any","datagrid"
"chapter xpaas middleware images ","overview topic group includes information different xpaas middleware images available openshift users red hat jboss enterprise application platform jboss eap xpaas images overview red hat offers containerized xpaas image red hat jboss enterprise chapter xpaas middleware images ","","api access redhat com:any","datagrid"
"chapter reference ","information environment variables following information environment variables designed convey information image modified user table information environment variables variable description value jboss datagrid version non paas chapter reference ","","api access redhat com:any","datagrid"
"chapter openshift enterprise release notes ","overview openshift enterprise red hat platform service paas provides developers organizations cloud application platform deploying new applications secure scalable resources minimal configuration management overhead openshift enterprise chapter openshift enterprise release notes ","","api access redhat com:any","datagrid"
"chapter reference ","information environment variables following information environment variables designed convey information image modified user table information environment variables variable description value jboss datagrid version release chapter reference ","","api access redhat com:any","datagrid"
"data source deployment","accumulo data sources accumulo data sources use data virtualization specific jca connector deployed jboss eap installation ways create accumulo data source cli adminshell admin console example shown uses cli tool data source deployment ","","api access redhat com:any","datagrid"
"chapter reference ","","","api access redhat com:any","datagrid"
"","jboss data grid openshift","","api access redhat com:any","datagrid"
"define data grid maven repository data grid library mode","define data grid maven repository data grid library mode infinispan build need eap dependencies eap red hat public repository http maven repository redhat com http maven repository redhat com relay eap release current public repository contain eap contain jdg libraries need download jdg repository https access redhat com jbossnetwork restricted softwaredetail html softwareid product data grid version downloadtype distributions locally assuming unzip jdg repository jboss datagrid maven repository maven setting xml attachment note configure url http maven repository redhat com techpreview eap dependencies configure file jboss datagrid maven repository jdg dependencies define data grid maven repository data grid library mode ","jboss data grid","api access redhat com:any","datagrid"
"dependent libraries jdg library mode application maven","build java application jdg need download libraries easiest way maven repositories use jdg library mode application use maven define repositories downloaded jdg repository https access redhat com jbossnetwork restricted softwaredetail html softwareid product data grid version downloadtype distributions jboss enterprise maven repository technology preview http maven repository redhat com pom xml follows replace local file path jdg repository execute mvn dependency copy dependencies command project directory dependencies downloaded int target dependency directory techpreview repository red hat enterprise maven repository http maven repository redhat com techpreview default true false jboss datagrid repository jboss data grid maven repository file path jboss datagrid server maven repository default true false techpreview repository red hat enterprise maven repository http maven repository redhat com techpreview default true false jboss datagrid repository jboss data grid maven repository file path jboss datagrid server maven repository default true false org infinispan infinispan core final redhat example getting started document https access redhat com site documentation red hat jboss data grid html getting started guide chap create new red hat jboss data grid project html add dependencies project attached download quickstart zip https access redhat com site node execute follows unzip quickstart zip quickstart mvn clean compile dependency copy dependencies java target classes target dependency com mycompany app quickstart dependent libraries jdg library mode application maven ","red hat jboss data grid jdg","api access redhat com:any","datagrid"
"developer guide","advanced guide intended developers red hat jboss data grid beta","","api access redhat com:any","datagrid"
"","red hat xpaas provides images red hat middleware products use openshift enterprise cloud computing platform service paas premise private cloud deployments images rebuilt latest red hat enterprise linux rhel base image rebuilt images inherit bug fixes improvements currently included rhel stream changes middleware products included images update includes following new images repository jboss amq amq openshift tags latest repository jboss webserver webserver tomcat openshift tags latest repository jboss webserver webserver tomcat openshift tags latest repository jboss eap eap openshift tags latest repository jboss datagrid datagrid openshift tags latest repository jboss decisionserver decisionserver openshift tags latest repository jboss fuse fis karaf openshift tags latest repository jboss fuse fis java openshift tags latest openshift enterprise users upgrade updated images ","","api access redhat com:any","datagrid"
"","red hat xpaas provides images red hat middleware products use openshift enterprise cloud computing platform service paas premise private cloud deployments images rebuilt latest red hat enterprise linux rhel base image rebuilt images inherit bug fixes improvements currently included rhel stream changes middleware products included images update includes following new images repository jboss amq amq openshift tags latest repository jboss webserver webserver tomcat openshift tags latest repository jboss webserver webserver tomcat openshift tags latest repository jboss eap eap openshift tags latest repository jboss datagrid datagrid openshift tags latest repository jboss decisionserver decisionserver openshift tags latest repository jboss fuse fis karaf openshift tags latest repository jboss fuse fis java openshift tags latest openshift enterprise users upgrade updated images ","","api access redhat com:any","datagrid"
"","red hat xpaas provides images red hat middleware products use openshift enterprise cloud computing platform service paas premise private cloud deployments images rebuilt latest red hat enterprise linux rhel base image rebuilt images inherit bug fixes improvements currently included rhel stream changes middleware products included images update includes following new images repository jboss eap beta eap openshift tags latest repository redhat sso tech preview sso openshift tags latest repository jboss eap eap openshift tags latest repository jboss amq amq openshift tags latest repository jboss webserver webserver tomcat openshift tags latest repository jboss webserver webserver tomcat openshift tags latest repository jboss eap eap openshift tags repository jboss datagrid datagrid openshift tags latest repository jboss decisionserver decisionserver openshift tags latest repository jboss fuse fis karaf openshift tags latest repository jboss fuse fis java openshift tags latest openshift enterprise users upgrade updated images ","","api access redhat com:any","datagrid"
"","red hat xpaas provides images red hat middleware products use openshift enterprise cloud computing platform service paas premise private cloud deployments images rebuilt latest openjdk release rebuilt images inherit bug fixes improvements currently included latest openjdk release additionally version jws jws images updated changes middleware products included images update includes following new images repository jboss amq amq openshift tags latest repository jboss datagrid datagrid openshift tags latest repository jboss decisionserver decisionserver openshift tags latest repository jboss eap eap openshift tags latest repository jboss eap eap openshift tags latest repository jboss fuse fis java openshift tags latest repository jboss fuse fis karaf openshift tags latest repository jboss webserver webserver tomcat openshift tags latest repository jboss webserver webserver tomcat openshift tags latest repository redhat sso sso openshift tags latest ","","api access redhat com:any","datagrid"
"","red hat xpaas provides images red hat middleware products use openshift enterprise openshift container platform cloud computing platform service paas premise private cloud deployments images rebuilt latest openjdk release rebuilt images inherit bug fixes improvements currently included latest openjdk release changes middleware products included images update includes following images jboss amq amq openshift jboss datagrid datagrid openshift jboss decisionserver decisionserver openshift jboss eap eap openshift jboss eap eap openshift jboss fuse fis karaf openshift jboss fuse fis java openshift jboss processserver processserver openshift jboss webserver webserver tomcat openshift jboss webserver webserver tomcat openshift redhat sso sso openshift ","","api access redhat com:any","datagrid"
"chapter hot rod interface ","","","api access redhat com:any","datagrid"
"chapter running red hat jboss data grid apache camel ","","","api access redhat com:any","datagrid"
"red hat jboss data grid openshift","guide red hat jboss data grid openshift image","","api access redhat com:any","datagrid"
"administration configuration guide","guide presents information administration configuration red hat jboss data grid beta","","api access redhat com:any","datagrid"
"chapter install use maven repositories ","","","api access redhat com:any","datagrid"
"","advanced guide intended developers red hat jboss data grid","","api access redhat com:any","datagrid"
"","guide outlines introductory concepts operations red hat jboss data grid","","api access redhat com:any","datagrid"
"","book details component richfaces framework including examples use applications","","api access redhat com:any","datagrid"
"","guide outlines introductory concepts operations red hat jboss data grid","","api access redhat com:any","datagrid"
"","book details component richfaces framework including examples use applications","","api access redhat com:any","datagrid"
"","book details component richfaces framework including examples use applications","","api access redhat com:any","datagrid"
"","book details component richfaces framework including examples use applications","","api access redhat com:any","datagrid"
"","jboss data grid release notes list provide descriptions series bugzilla bugs bugs highlight issues known problems relevant release bugs resolved ","","api access redhat com:any","datagrid"
"","book details component richfaces framework including examples use applications","","api access redhat com:any","datagrid"
"","guide presents information administration configuration red hat jboss data grid","","api access redhat com:any","datagrid"
"","guide outlines introductory concepts operations red hat jboss data grid","","api access redhat com:any","datagrid"
"","guide presents information administration configuration red hat jboss data grid","","api access redhat com:any","datagrid"
"","book details component richfaces framework including examples use applications","","api access redhat com:any","datagrid"
"","guide presents information administration configuration red hat jboss data grid","","api access redhat com:any","datagrid"
"","guide outlines introductory concepts operations red hat jboss data grid","","api access redhat com:any","datagrid"
"","book details component richfaces framework including examples use applications","","api access redhat com:any","datagrid"
"","guide presents information administration configuration red hat jboss data grid","","api access redhat com:any","datagrid"
"","guide outlines introductory concepts operations red hat jboss data grid","","api access redhat com:any","datagrid"
"","advanced guide intended developers red hat jboss data grid","","api access redhat com:any","datagrid"
"","read guide learn administer red hat jboss data virtualization","","api access redhat com:any","datagrid"
"","guide presents information administration configuration red hat jboss data grid","","api access redhat com:any","datagrid"
"","guide outlines introductory concepts operations red hat jboss data grid","","api access redhat com:any","datagrid"
"","advanced guide intended developers red hat jboss data grid","","api access redhat com:any","datagrid"
"","guide presents information migrating jboss data grid","","api access redhat com:any","datagrid"
"","book details component richfaces framework including examples use applications","","api access redhat com:any","datagrid"
"","guide presents information infinispan query jboss data grid jboss enterprise platforms","","api access redhat com:any","datagrid"
"chapter  externalize sessions","","","api access redhat com:any","datagrid"
"getting started guide","guide outlines introductory concepts operations red hat jboss data grid beta","","api access redhat com:any","datagrid"
"camel jbossdatagrid component","","quickstart shows use camel jbossdatagrid component fuse author vijay chintalapati thomas qvarnstrom quickstart deploy bundles local datagrid producer local datagrid consumer fuse container child child respectively local datagrid producer scans folder tmp incoming incoming csv files format  id firstname lastname age  file dropped entries given format entry read transformed person pojo stored data grid local datagrid consumer lets query pojo restful interface json representation person pojo stored data grid given key bundles reside different containers reason consumer able extract producer use configuration files infinispan xml jgroups xml sides infinispan xml file repl replicated datagrid definition camel datastore datagrid producer consumer interact requirements need build project java sdk better maven better application project produces designed run jboss fuse later configure maven configure maven testing quickstarts setup quickstart download fuse binary jboss fuse redhat zip http www jboss org products red hat s customer portal export path folder csv files placed running command form export incomingfolderpath path csv folder run mvn clean install dincomingfolderpath incomingfolderpath root folder quickstart set following environment variables shell export fuse install path path folder fuse installed export fuse binary path path fuse binary file root folder quickstart run setupeverythingonfuse setup verification verify access fuse hawtio console http hawtio index html login username password admin admin fuse fabric created right able access containers verify containers created names child child note root child child green click names andcapture logs displayed testing open index html browser note index html local file located camel jbossdatagrid fuse directory click connect add best football soccer players executing best footballplayers csv incomingfolderpath check players added table browser add player executing echo diego maradona incomingfolderpath sample csv verify player added table browser it s possible open multiple browsers connect verify clients updates work local datagrid producer listen incoming files folder incomingfolderpath transform line csv java object store local datagrid local datagrid consumer react events entry added datagrid retrieve java object transform json push websocket clients connected ","","datagrid"
